0,てんしば入り口,none,てんしば入り口,none,none,none,none,none,none
1,ヴィクトリアコアラ,1151,森にたたずむおっとりや,えさとして食べている植物は？,クスノキ,ユーカリ,タンポポ,vikutoriakoara.png,53
2,フサオネズミカンガルー,1153,ネズミだけどネズミじゃない！？,歩き方は？,人間みたいに2本足で歩く,手と足を使って歩く,両足で跳んで歩く,husaonezumikangaru.png,none
3,シシオザル,1260,サルの中のライオン,顔にたてがみがあるのはオス？メス？,オスとメス両方,オス,メスだけ,shishiozaru.png,none
4,ヒツジ,1927,ふわふわお布団,ヒツジの爪は何個にわかれてる？,1個,2個,5個,hituji.png,202
5,ヤギ,1612,実は紙は食べれない！？,胃袋は何個あるでしょう？,1個,2個,4個,yagi.png,none
6,フンボルトペンギン,2254,意外と暖かいところが好き,胸にある黒い帯は何本？,1本,2本,3本,hunborutopengin.png,29
7,シセンレッサーパンダ,1914,たぬき？くま？,お腹が黒い理由は？,お腹を地面にすりながら歩くから,敵に見つけられにくいように,お腹を洗わないから,ressa-panda.png,20
8,チュウゴクオオカミ,1403,日本ではここしか居ない！？,オオカミの中ではどれくらいの大きさかな？,大型,小型,中くらい,tyugokuookami.png,16
9,アムールトラ,142,大阪のおばちゃんも大好き！,別名は？,シベリアトラ,ベンガルトラ,スマトラトラ,amurutora.png,6
10,ムフロン,1613,もふもふでゴツゴツ！？,ツノはオスとメスどちらが大きい？,メスの方が大きい,オスの方が大きい,オスもメスも同じくらい,muhuron.png,128
11,ピューマ,1421,運動大好き！,何メートルまでジャンプできるでしょうか？,1mぐらい,2mぐらい,3m以上,pyu-ma.png,none
12,スナドリネコ,1420,魚が好物,漢字ではどう書くかな？,漁り猫,巣な取り猫,砂取り猫,sunadorineko.png,1
13,セーカーハヤブサ,2921,りりしい顔だち,鼻の色は何色？,赤色,黄色,青色,se-ka-hayabusa.png,3
14,ライオン,1425,百獣の王,群れのことをなんと言うかな？,タワー,パック,プライド,raion.png,140
15,アミメキリン,1606,首を長〜くして待ってます,アミメキリンの子どもの大きさはどのくらい？,人間の大人と同じぐらい,小学生ぐらい,1mよりも小さい,amimekirin.png,16
16,コビトマングース,1415,小さくたって肉食系,コビトマングースの習性として正しいのは？,100匹以上の群れで行動する,他の動物の卵を食べてしまう,ヘビを食べてしまう,kobito-mangusu.png,none
17,ヒガシクロサイ,1992,クロだけど黒じゃない,ツノは何でできているかな？,骨の一部,筋肉が硬くなったもの,毛が硬くなったもの,higasikurosai.png,152
18,カバ,1601,おこりんぼう,走る速さは?,人間が歩くより早い,自転車よりも早い,走れない,kaba.png,none
19,チリーフラミンゴ,2403,美しい足,エサの食べ方は？,木をつつく,泥ごと口に入れる,食べない,tirihuramingo.png,88
20,ミシシッピワニ,3151,大きなお口,何個の卵を産むでしょう？,1個,10個,20個以上,misisipiwani.png,47
21,ホソオオトカゲ,3923,スリムなボディー,どこで生活しているかな？,木の上,水の中,岩の下,hosootokage.png,47
22,コイ,5904,ダンディーなひげ,コイにないものは？,歯,胃,うろこ,koi.png,47
23,新世界入り口,none,新世界入り口,none,none,none,none,none,none
24,チンパンジー,1267,人間そっくり！？,チンパンジーの歩き方は？,手の甲をついて歩く,手のひらで歩く,2本足で歩く,tinpanji.png,353
25,カリフォルニアアシカ,1451,海のライオン,指は何本でしょう？,6本,5本,4本,asika.png,128
26,コサンケイ,2558,真っ赤なお顔,オスの羽の色は？,灰色,茶色,青色,kosankei.png,333
27,シロフクロウ,2934,寒くてもへっちゃら,翼を広げると何cm？,140cmよりも長い,100cmぐらい,50cmぐらい,sirohukurou.png,312
28,ホッキョクグマ,1407,白き巨体,体のある部分に毒を持っています、それはどこ？,口の中,肝臓,胃,hokkyokuguma.png,312
29,メガネグマ,1405,大きいメガネ,上手な運動は？,ジャンプ,ダンス,木登り,meganeguma.png,312
30,タイゾウ,1502,鼻のなが〜い動物,寿命はどのぐらい？,70〜80年,40年〜50年,10〜20年,taizou.png,250
31,ホオアカトキ,2907,見た目は魔女,恋人が亡くなったときどうする？,喜ぶ,悲しむ,起こる,hooakatoki.png,23
32,てんしば入り口,none,てんしば入り口,none,none,none,none,none,none
